ES_Index_Bond	Frequency	BondIs
53_23	3	0
53_29	102	1
53_31	1	0
53_35	2	0
53_49	1	0
69_10	134	1
69_14	3	0
69_15	1168	1
69_16	36869	1
69_29	3	0
69_31	1	0
74_10	136	1
74_14	72	1
74_15	160	1
74_16	6502	1
74_29	3	0
74_49	1	0
